bpm,avg_streams
171,2409866684.0
179,1735441776.0
186,1718833354.0
181,1256880657.0
111,1230280239.0
112,1119189675.6
99,1065574029.75
91,1040733924.5
103,992864317.17
173,981269432.33
79,955087217.25
117,941426759.89
124,858581980.0
95,855031842.38
169,836621135.5
129,815815334.57
176,809898553.5
71,804513449.0
146,791773337.0
174,774856883.75
156,766315865.5
77,734672197.0
84,733429473.0
109,726658602.83
202,695133227.5
131,679414564.0
96,672452531.06
206,657775576.0
81,646215392.75
180,634165900.55
136,632354832.14
163,618885532.0
166,615488259.29
104,611479999.75
110,604110181.35
65,583804548.5
102,583532762.4
89,579949536.0
170,566608235.12
85,566254188.29
108,561642731.15
134,546764962.0
114,544608696.9
116,536103527.78
90,531449225.52
76,530128612.0
122,528021641.11
67,518745108.0
144,518676266.0
125,512973621.44
150,510279855.81
107,506833152.17
80,505162581.75
184,500340342.0
115,498561140.42
149,495701689.0
118,488150758.0
141,487119456.0
172,481009164.29
196,479655659.0
160,478426024.1
98,477110983.56
101,475475731.9
164,473638565.5
148,473223310.0
92,469428180.4
126,463102510.6
100,461937855.94
120,458846286.79
105,458813686.68
123,457683040.67
128,448511656.38
82,441628686.29
93,430846967.07
204,429829812.0
72,418584479.67
168,410635750.67
161,406108522.5
145,401229062.73
97,394635174.25
88,386835836.0
147,374747906.6
198,373199958.0
140,370693626.97
132,357728380.14
130,355031118.26
94,354540416.33
153,350471100.0
138,349060164.56
154,348188440.13
73,342779426.0
151,336081644.5
133,334097489.78
121,331294066.8
139,327531112.5
189,299648208.0
142,295395723.4
188,283332261.0
113,280287941.0
178,277038696.33
175,268120505.5
83,266464673.0
119,265383224.6
135,261093020.55
152,249097278.67
177,241716635.0
162,238245063.33
165,236060709.0
143,235024121.86
157,226620630.0
127,225034519.0
78,200113911.44
75,199386237.0
158,198158616.0
137,177760253.0
183,165667029.5
106,164310090.5
182,147290338.0
192,142095275.0
87,137306807.25
200,135444283.0
74,133753727.0
155,124560458.5
86,74601456.0